[2021-06-25 13:28:13] [tech-detect:cloudflare] [http] [info] http://support.bitfinex.com:8443
[2021-06-25 13:28:13] [tech-detect:cloudflare] [http] [info] http://staking.bitfinex.com:8080
[2021-06-25 13:28:13] [tech-detect:cloudflare] [http] [info] http://staging.bitfinex.com
[2021-06-25 13:28:13] [tech-detect:cloudflare] [http] [info] http://staging.bitfinex.com:8080
[2021-06-25 13:28:13] [tech-detect:cloudflare] [http] [info] http://terminal.bitfinex.com:8443
[2021-06-25 13:28:14] [tech-detect:cloudflare] [http] [info] http://terminal.bitfinex.com:8080
[2021-06-25 13:28:14] [tech-detect:cloudflare] [http] [info] http://terminal.bitfinex.com
[2021-06-25 13:28:14] [tech-detect:cloudflare] [http] [info] http://trading.bitfinex.com:8443
[2021-06-25 13:28:15] [tech-detect:cloudflare] [http] [info] http://trading.bitfinex.com
[2021-06-25 13:28:15] [tech-detect:google-font-api] [http] [info] http://trading.bitfinex.com
[2021-06-25 13:28:15] [tech-detect:google-font-api] [http] [info] http://trading.bitfinex.com:8080
[2021-06-25 13:28:15] [tech-detect:cloudflare] [http] [info] http://trading.bitfinex.com:8080
[2021-06-25 13:28:15] [tech-detect:cloudflare] [http] [info] http://www.bitfinex.com:8443
[2021-06-25 13:28:15] [tech-detect:cloudflare] [http] [info] http://www.bitfinex.com:8080
[2021-06-25 13:28:16] [tech-detect:nginx] [http] [info] http://www.marketing.bitfinex.com:6000
[2021-06-25 13:28:16] [tech-detect:google-font-api] [http] [info] https://affiliate.bitfinex.com
[2021-06-25 13:28:16] [tech-detect:cloudflare] [http] [info] https://affiliate.bitfinex.com
[2021-06-25 13:28:18] [tech-detect:cloudflare] [http] [info] https://api-pub.bitfinex.com
[2021-06-25 13:28:18] [tech-detect:google-font-api] [http] [info] http://support.bitfinex.com
[2021-06-25 13:28:18] [tech-detect:cloudflare] [http] [info] http://support.bitfinex.com
[2021-06-25 13:28:18] [tech-detect:yoast-seo] [http] [info] http://blog.bitfinex.com
[2021-06-25 13:28:18] [tech-detect:google-font-api] [http] [info] http://blog.bitfinex.com
[2021-06-25 13:28:18] [tech-detect:cloudflare] [http] [info] http://blog.bitfinex.com
[2021-06-25 13:28:18] [tech-detect:wordpress] [http] [info] http://blog.bitfinex.com
[2021-06-25 13:28:18] [tech-detect:revslider] [http] [info] http://blog.bitfinex.com
[2021-06-25 13:28:18] [tech-detect:font-awesome] [http] [info] http://blog.bitfinex.com
[2021-06-25 13:28:18] [tech-detect:cloudflare] [http] [info] http://docs.bitfinex.com
[2021-06-25 13:28:18] [tech-detect:angularjs] [http] [info] http://docs.bitfinex.com
[2021-06-25 13:28:18] [tech-detect:angular] [http] [info] http://docs.bitfinex.com
[2021-06-25 13:28:18] [tech-detect:angularjs] [http] [info] http://docs.bitfinex.com:8080
[2021-06-25 13:28:18] [tech-detect:angular] [http] [info] http://docs.bitfinex.com:8080
[2021-06-25 13:28:18] [tech-detect:cloudflare] [http] [info] http://docs.bitfinex.com:8080
[2021-06-25 13:28:19] [tech-detect:google-tag-manager] [http] [info] http://mta-3.marketing.bitfinex.com
[2021-06-25 13:28:19] [tech-detect:google-font-api] [http] [info] http://mta-3.marketing.bitfinex.com
[2021-06-25 13:28:19] [tech-detect:google-font-api] [http] [info] http://mta-4.marketing.bitfinex.com
[2021-06-25 13:28:19] [tech-detect:google-tag-manager] [http] [info] http://mta-4.marketing.bitfinex.com
[2021-06-25 13:28:19] [tech-detect:google-font-api] [http] [info] https://connect-social.bitfinex.com
[2021-06-25 13:28:19] [tech-detect:cloudflare] [http] [info] https://connect-social.bitfinex.com
[2021-06-25 13:28:20] [tech-detect:cloudflare] [http] [info] https://bitfinex.com
[2021-06-25 13:28:20] [tech-detect:hcaptcha] [http] [info] https://cs.bitfinex.com
[2021-06-25 13:28:20] [tech-detect:cloudflare] [http] [info] https://cs.bitfinex.com
[2021-06-25 13:28:20] [tech-detect:hcaptcha] [http] [info] https://cs.bitfinex.com:8443
[2021-06-25 13:28:20] [tech-detect:cloudflare] [http] [info] https://cs.bitfinex.com:8443
[2021-06-25 13:28:20] [tech-detect:nginx] [http] [info] http://www.marketing.bitfinex.com
[2021-06-25 13:28:21] [tech-detect:yoast-seo] [http] [info] http://blog.bitfinex.com:8080
[2021-06-25 13:28:21] [tech-detect:google-font-api] [http] [info] http://blog.bitfinex.com:8080
[2021-06-25 13:28:21] [tech-detect:cloudflare] [http] [info] http://blog.bitfinex.com:8080
[2021-06-25 13:28:21] [tech-detect:wordpress] [http] [info] http://blog.bitfinex.com:8080
[2021-06-25 13:28:21] [tech-detect:revslider] [http] [info] http://blog.bitfinex.com:8080
[2021-06-25 13:28:21] [tech-detect:font-awesome] [http] [info] http://blog.bitfinex.com:8080
[2021-06-25 13:28:21] [tech-detect:cloudflare] [http] [info] https://honey.bitfinex.com
[2021-06-25 13:28:22] [tech-detect:cloudflare] [http] [info] https://kyc.bitfinex.com
[2021-06-25 13:28:22] [tech-detect:google-font-api] [http] [info] https://leaderboard.bitfinex.com
[2021-06-25 13:28:22] [tech-detect:cloudflare] [http] [info] https://leaderboard.bitfinex.com
[2021-06-25 13:28:22] [tech-detect:gatsby] [http] [info] http://bitfinex.com
[2021-06-25 13:28:22] [tech-detect:cloudflare] [http] [info] http://bitfinex.com
[2021-06-25 13:28:22] [tech-detect:react] [http] [info] http://bitfinex.com
[2021-06-25 13:28:22] [tech-detect:google-font-api] [http] [info] https://lending-pro.bitfinex.com
[2021-06-25 13:28:22] [tech-detect:cloudflare] [http] [info] https://lending-pro.bitfinex.com
[2021-06-25 13:28:23] [tech-detect:react] [http] [info] http://reporting.bitfinex.com
[2021-06-25 13:28:23] [tech-detect:gatsby] [http] [info] http://reporting.bitfinex.com
[2021-06-25 13:28:23] [tech-detect:cloudflare] [http] [info] http://reporting.bitfinex.com
[2021-06-25 13:28:23] [tech-detect:cloudflare] [http] [info] https://developers.bitfinex.com
[2021-06-25 13:28:23] [tech-detect:cloudflare] [http] [info] https://leo.bitfinex.com
[2021-06-25 13:28:23] [tech-detect:react] [http] [info] http://reporting.bitfinex.com:8080
[2021-06-25 13:28:23] [tech-detect:gatsby] [http] [info] http://reporting.bitfinex.com:8080
[2021-06-25 13:28:23] [tech-detect:cloudflare] [http] [info] http://reporting.bitfinex.com:8080
[2021-06-25 13:28:23] [tech-detect:cloudflare] [http] [info] https://ln.bitfinex.com
[2021-06-25 13:28:23] [tech-detect:cloudflare] [http] [info] https://mchart.bitfinex.com
[2021-06-25 13:28:24] [tech-detect:cloudflare] [http] [info] https://lending-pro.bitfinex.com:8443
[2021-06-25 13:28:24] [tech-detect:cloudflare] [http] [info] https://developers.bitfinex.com:8443
[2021-06-25 13:28:24] [tech-detect:cloudflare] [http] [info] https://mercuryo-card.bitfinex.com
[2021-06-25 13:28:24] [tech-detect:google-font-api] [http] [info] https://movement.bitfinex.com
[2021-06-25 13:28:24] [tech-detect:cloudflare] [http] [info] https://movement.bitfinex.com
[2021-06-25 13:28:25] [tech-detect:cloudflare] [http] [info] https://report.bitfinex.com
[2021-06-25 13:28:25] [tech-detect:google-font-api] [http] [info] https://pulse.bitfinex.com
[2021-06-25 13:28:25] [tech-detect:cloudflare] [http] [info] https://pulse.bitfinex.com
[2021-06-25 13:28:25] [tech-detect:cloudflare] [http] [info] http://api.bitfinex.com:8080
[2021-06-25 13:28:25] [tech-detect:react] [http] [info] http://api.bitfinex.com:8080
[2021-06-25 13:28:25] [tech-detect:gatsby] [http] [info] http://api.bitfinex.com:8080
[2021-06-25 13:28:26] [tech-detect:font-awesome] [http] [info] https://santiment.bitfinex.com
[2021-06-25 13:28:26] [tech-detect:google-font-api] [http] [info] https://santiment.bitfinex.com
[2021-06-25 13:28:26] [tech-detect:cloudflare] [http] [info] https://santiment.bitfinex.com
[2021-06-25 13:28:26] [tech-detect:google-font-api] [http] [info] https://setting.bitfinex.com
[2021-06-25 13:28:26] [tech-detect:cloudflare] [http] [info] https://setting.bitfinex.com
[2021-06-25 13:28:26] [tech-detect:gatsby] [http] [info] http://bitfinex.com:8080
[2021-06-25 13:28:26] [tech-detect:cloudflare] [http] [info] http://bitfinex.com:8080
[2021-06-25 13:28:26] [tech-detect:react] [http] [info] http://bitfinex.com:8080
[2021-06-25 13:28:26] [tech-detect:cloudflare] [http] [info] http://api.bitfinex.com
[2021-06-25 13:28:26] [tech-detect:react] [http] [info] http://api.bitfinex.com
[2021-06-25 13:28:26] [tech-detect:gatsby] [http] [info] http://api.bitfinex.com
[2021-06-25 13:28:26] [tech-detect:cloudflare] [http] [info] https://staging.bitfinex.com:8443
[2021-06-25 13:28:26] [tech-detect:cloudflare] [http] [info] https://staking.bitfinex.com
[2021-06-25 13:28:27] [tech-detect:cloudflare] [http] [info] https://terminal.bitfinex.com
[2021-06-25 13:28:27] [tech-detect:cloudflare] [http] [info] https://staging.bitfinex.com
[2021-06-25 13:28:27] [tech-detect:react] [http] [info] http://tokensales.bitfinex.com:8080
[2021-06-25 13:28:27] [tech-detect:gatsby] [http] [info] http://tokensales.bitfinex.com:8080
[2021-06-25 13:28:27] [tech-detect:cloudflare] [http] [info] http://tokensales.bitfinex.com:8080
[2021-06-25 13:28:27] [tech-detect:cloudflare] [http] [info] http://tokensales.bitfinex.com
[2021-06-25 13:28:27] [tech-detect:react] [http] [info] http://tokensales.bitfinex.com
[2021-06-25 13:28:27] [tech-detect:gatsby] [http] [info] http://tokensales.bitfinex.com
[2021-06-25 13:28:28] [tech-detect:cloudflare] [http] [info] https://www.bitfinex.com
[2021-06-25 13:28:28] [tech-detect:google-font-api] [http] [info] https://trading.bitfinex.com
[2021-06-25 13:28:28] [tech-detect:cloudflare] [http] [info] https://trading.bitfinex.com
[2021-06-25 13:28:28] [tech-detect:gatsby] [http] [info] http://lothlorien.bitfinex.com:8080
[2021-06-25 13:28:28] [tech-detect:cloudflare] [http] [info] http://lothlorien.bitfinex.com:8080
[2021-06-25 13:28:28] [tech-detect:react] [http] [info] http://lothlorien.bitfinex.com:8080
[2021-06-25 13:28:28] [tech-detect:cloudflare] [http] [info] https://static.bitfinex.com
[2021-06-25 13:28:29] [tech-detect:cloudflare] [http] [info] http://lothlorien.bitfinex.com
[2021-06-25 13:28:29] [tech-detect:react] [http] [info] http://lothlorien.bitfinex.com
[2021-06-25 13:28:29] [tech-detect:gatsby] [http] [info] http://lothlorien.bitfinex.com
[2021-06-25 13:28:31] [tech-detect:nginx] [http] [info] https://www.marketing.bitfinex.com
[2021-06-25 13:28:31] [tech-detect:google-font-api] [http] [info] https://support.bitfinex.com
[2021-06-25 13:28:31] [tech-detect:cloudflare] [http] [info] https://support.bitfinex.com
[2021-06-25 13:28:32] [tech-detect:react] [http] [info] http://static.bitfinex.com
[2021-06-25 13:28:32] [tech-detect:gatsby] [http] [info] http://static.bitfinex.com
[2021-06-25 13:28:32] [tech-detect:cloudflare] [http] [info] http://static.bitfinex.com
[2021-06-25 13:28:33] [tech-detect:react] [http] [info] http://static.bitfinex.com:8080
[2021-06-25 13:28:33] [tech-detect:gatsby] [http] [info] http://static.bitfinex.com:8080
[2021-06-25 13:28:33] [tech-detect:cloudflare] [http] [info] http://static.bitfinex.com:8080
[2021-06-25 13:28:33] [tech-detect:google-tag-manager] [http] [info] https://mta-4.marketing.bitfinex.com
[2021-06-25 13:28:33] [tech-detect:google-font-api] [http] [info] https://mta-4.marketing.bitfinex.com
[2021-06-25 13:28:33] [tech-detect:google-tag-manager] [http] [info] https://mta-3.marketing.bitfinex.com
[2021-06-25 13:28:33] [tech-detect:google-font-api] [http] [info] https://mta-3.marketing.bitfinex.com
[2021-06-25 13:28:33] [tech-detect:angularjs] [http] [info] https://docs.bitfinex.com
[2021-06-25 13:28:33] [tech-detect:angular] [http] [info] https://docs.bitfinex.com
[2021-06-25 13:28:33] [tech-detect:cloudflare] [http] [info] https://docs.bitfinex.com
[2021-06-25 13:28:34] [tech-detect:wordpress] [http] [info] https://blog.bitfinex.com
[2021-06-25 13:28:34] [tech-detect:revslider] [http] [info] https://blog.bitfinex.com
[2021-06-25 13:28:34] [tech-detect:font-awesome] [http] [info] https://blog.bitfinex.com
[2021-06-25 13:28:34] [tech-detect:yoast-seo] [http] [info] https://blog.bitfinex.com
[2021-06-25 13:28:34] [tech-detect:google-font-api] [http] [info] https://blog.bitfinex.com
[2021-06-25 13:28:34] [tech-detect:cloudflare] [http] [info] https://blog.bitfinex.com
[2021-06-25 13:28:34] [tech-detect:cloudflare] [http] [info] http://www.bitfinex.com
[2021-06-25 13:28:34] [tech-detect:react] [http] [info] http://www.bitfinex.com
[2021-06-25 13:28:34] [tech-detect:gatsby] [http] [info] http://www.bitfinex.com
[2021-06-25 13:28:35] [tech-detect:react] [http] [info] https://reporting.bitfinex.com
[2021-06-25 13:28:35] [tech-detect:gatsby] [http] [info] https://reporting.bitfinex.com
[2021-06-25 13:28:35] [tech-detect:cloudflare] [http] [info] https://reporting.bitfinex.com
[2021-06-25 13:28:35] [tech-detect:react] [http] [info] https://api.bitfinex.com
[2021-06-25 13:28:35] [tech-detect:gatsby] [http] [info] https://api.bitfinex.com
[2021-06-25 13:28:35] [tech-detect:cloudflare] [http] [info] https://api.bitfinex.com
[2021-06-25 13:28:35] [tech-detect:react] [http] [info] https://tokensales.bitfinex.com:8443
[2021-06-25 13:28:35] [tech-detect:gatsby] [http] [info] https://tokensales.bitfinex.com:8443
[2021-06-25 13:28:35] [tech-detect:cloudflare] [http] [info] https://tokensales.bitfinex.com:8443
[2021-06-25 13:28:35] [tech-detect:react] [http] [info] https://tokensales.bitfinex.com
[2021-06-25 13:28:35] [tech-detect:gatsby] [http] [info] https://tokensales.bitfinex.com
[2021-06-25 13:28:35] [tech-detect:cloudflare] [http] [info] https://tokensales.bitfinex.com
[2021-06-25 13:28:36] [tech-detect:react] [http] [info] https://bitfinex.com:8443
[2021-06-25 13:28:36] [tech-detect:gatsby] [http] [info] https://bitfinex.com:8443
[2021-06-25 13:28:36] [tech-detect:cloudflare] [http] [info] https://bitfinex.com:8443
[2021-06-25 13:28:36] [tech-detect:react] [http] [info] http://pay.bitfinex.com:8080
[2021-06-25 13:28:36] [tech-detect:gatsby] [http] [info] http://pay.bitfinex.com:8080
[2021-06-25 13:28:36] [tech-detect:google-font-api] [http] [info] http://pay.bitfinex.com:8080
[2021-06-25 13:28:36] [tech-detect:cloudflare] [http] [info] http://pay.bitfinex.com:8080
[2021-06-25 13:28:36] [tech-detect:react] [http] [info] http://pay.bitfinex.com
[2021-06-25 13:28:36] [tech-detect:gatsby] [http] [info] http://pay.bitfinex.com
[2021-06-25 13:28:36] [tech-detect:google-font-api] [http] [info] http://pay.bitfinex.com
[2021-06-25 13:28:36] [tech-detect:cloudflare] [http] [info] http://pay.bitfinex.com
[2021-06-25 13:28:36] [tech-detect:react] [http] [info] https://lothlorien.bitfinex.com
[2021-06-25 13:28:36] [tech-detect:gatsby] [http] [info] https://lothlorien.bitfinex.com
[2021-06-25 13:28:36] [tech-detect:cloudflare] [http] [info] https://lothlorien.bitfinex.com
[2021-06-25 13:28:37] [tech-detect:cloudflare] [http] [info] https://pay.bitfinex.com
[2021-06-25 13:28:37] [tech-detect:react] [http] [info] https://pay.bitfinex.com
[2021-06-25 13:28:37] [tech-detect:gatsby] [http] [info] https://pay.bitfinex.com
[2021-06-25 13:28:37] [tech-detect:google-font-api] [http] [info] https://pay.bitfinex.com
[2021-06-25 13:33:47] [dns-waf-detect:cloudflare] [dns] [info] http://connect-social.bitfinex.com:8080
[2021-06-25 13:33:47] [dns-waf-detect:cloudflare] [dns] [info] http://connect-social.bitfinex.com:8443
[2021-06-25 13:33:47] [dns-waf-detect:cloudflare] [dns] [info] http://developers.bitfinex.com:8080
[2021-06-25 13:33:47] [dns-waf-detect:cloudflare] [dns] [info] http://api.bitfinex.com:8080
[2021-06-25 13:33:47] [dns-waf-detect:cloudflare] [dns] [info] http://cs.bitfinex.com:8080
[2021-06-25 13:33:47] [dns-waf-detect:cloudflare] [dns] [info] http://blog.bitfinex.com
[2021-06-25 13:33:47] [dns-waf-detect:cloudflare] [dns] [info] http://docs.bitfinex.com:8443
[2021-06-25 13:33:47] [dns-waf-detect:cloudflare] [dns] [info] http://bitfinex.com
[2021-06-25 13:33:47] [dns-waf-detect:cloudflare] [dns] [info] http://bitfinex.com:8080
[2021-06-25 13:33:47] [dns-waf-detect:cloudflare] [dns] [info] http://api-pub.bitfinex.com:8443
[2021-06-25 13:33:47] [dns-waf-detect:cloudflare] [dns] [info] http://api.bitfinex.com:8443
[2021-06-25 13:33:47] [dns-waf-detect:cloudflare] [dns] [info] http://affiliate.bitfinex.com:8443
[2021-06-25 13:33:47] [dns-waf-detect:cloudflare] [dns] [info] http://connect-social.bitfinex.com
